species	aligner	parameters
Athaliana	minimap2	asm5
Athaliana	minimap2	asm10
Athaliana	minimap2	asm20
Athaliana	AnchorWave	default
Athaliana	wfmash	p95s10000c20000k19
Athaliana	wfmash	p90s10000c20000k19
Athaliana	wfmash	p85s10000c20000k19
Athaliana	wfmash	p80s10000c20000k19
Athaliana	nucmer	b500c500l100
Slycopersicum	minimap2	asm5
Slycopersicum	minimap2	asm10
Slycopersicum	minimap2	asm20
Slycopersicum	AnchorWave	default
Slycopersicum	wfmash	p95s10000c20000k19
Slycopersicum	wfmash	p90s10000c20000k19
Slycopersicum	wfmash	p85s10000c20000k19
Slycopersicum	wfmash	p80s10000c20000k19
Slycopersicum	nucmer	b500c500l100
